Order_ID,Order_Date,Product,Category,Sales,Quantity
ORD-00073,2023-07-29,Canon R5,Accessories,1692.46,4
ORD-00074,2023-08-08,Sony WH-1000,Camera,2331.87,2
ORD-00075,2023-11-19,Galaxy Tab,Electronics,6048.69,4
ORD-00076,2024-05-30,Galaxy Tab,Accessories,3636.7,4
ORD-00077,2023-03-08,iPad Air,Electronics,2459.03,5
ORD-00078,2023-04-09,iPad Air,Electronics,1665.85,1
ORD-00079,2023-01-22,iPhone 15,Electronics,3021.04,4
ORD-00080,2024-09-24,iPad Air,Electronics,9131.55,5
ORD-00081,2023-07-11,iPad Air,Electronics,4682.73,4
ORD-00082,2023-02-06,Samsung S24,Camera,1450.12,2
ORD-00083,2024-09-23,DJI Mini 4,Accessories,4194.14,3
ORD-00084,2023-07-28,Samsung S24,Camera,3602.07,3
ORD-00085,2023-06-13,Nikon Z6,Accessories,1657.17,1
ORD-00086,2024-03-13,MacBook Pro,Accessories,3234.56,2
ORD-00087,2023-05-10,Canon R5,Electronics,1335.61,1
ORD-00088,2023-11-17,Canon R5,Accessories,3208.36,5
ORD-00089,2023-03-03,iPad Air,Electronics,2478.94,3
ORD-00090,2023-05-23,Galaxy Tab,Camera,6086.05,4
ORD-00091,2024-09-02,Dell XPS 13,Camera,542.18,1
ORD-00092,2024-05-04,iPhone 15,Electronics,4943.13,4
ORD-00093,2023-08-15,Sony WH-1000,Camera,1745.17,1
ORD-00094,2024-06-02,DJI Mini 4,Electronics,677.4,1
ORD-00095,2023-04-23,Galaxy Tab,Electronics,6106.19,5
ORD-00096,2023-08-11,Canon R5,Accessories,1681.99,1
ORD-00097,2024-11-10,Dell XPS 13,Electronics,877.25,4
ORD-00098,2024-09-05,Nikon Z6,Camera,2902.39,2
ORD-00099,2024-03-14,iPad Air,Camera,3387.24,2
ORD-00100,2023-12-18,iPad Air,Electronics,5092.53,5
ORD-00101,2023-05-28,MacBook Pro,Electronics,996.61,2
ORD-00102,2024-06-05,Canon R5,Accessories,3276.85,3
ORD-00103,2024-10-05,Canon R5,Camera,1054.25,1
ORD-00104,2023-12-17,iPad Air,Electronics,1580.86,1
ORD-00105,2023-07-16,Dell XPS 13,Electronics,1673.82,3
ORD-00106,2023-04-08,DJI Mini 4,Camera,5875.71,3
ORD-00107,2023-12-31,MacBook Pro,Accessories,6699.16,5
ORD-00108,2023-03-12,Galaxy Tab,Camera,2161.08,2
ORD-00109,2024-10-14,iPhone 15,Camera,1548.31,1
ORD-00110,2023-12-23,Samsung S24,Accessories,3637.53,2
ORD-00111,2024-03-28,iPhone 15,Camera,3800.99,5
ORD-00112,2023-12-13,Canon R5,Camera,1887.15,2
ORD-00113,2024-03-04,iPhone 15,Camera,1745.42,1
ORD-00114,2023-10-11,Galaxy Tab,Electronics,3445.87,2
ORD-00115,2023-04-21,Sony WH-1000,Accessories,4952.59,3
ORD-00116,2024-09-10,MacBook Pro,Electronics,6729.17,5
ORD-00117,2024-10-20,DJI Mini 4,Camera,3565.55,5
ORD-00118,2023-05-24,DJI Mini 4,Camera,1127.74,5
ORD-00119,2024-08-17,iPad Air,Accessories,3708.89,4
ORD-00120,2023-04-19,Samsung S24,Accessories,389.0,1
ORD-00121,2024-01-06,Sony WH-1000,Electronics,5453.73,3
ORD-00122,2024-01-29,Nikon Z6,Accessories,3110.42,5
ORD-00123,2023-08-29,Samsung S24,Accessories,2312.54,2
ORD-00124,2023-08-31,Galaxy Tab,Accessories,3143.17,4
ORD-00125,2024-06-24,Canon R5,Camera,5053.47,3
ORD-00126,2023-07-04,MacBook Pro,Accessories,1695.13,2
ORD-00127,2023-05-28,iPad Air,Camera,3158.36,3
ORD-00128,2024-09-10,iPhone 15,Electronics,3313.7,3
ORD-00129,2023-08-08,Samsung S24,Camera,3908.52,2
ORD-00130,2024-05-31,Sony WH-1000,Electronics,2067.74,5
ORD-00131,2023-10-20,Sony WH-1000,Camera,1237.3,1
ORD-00132,2023-01-18,Dell XPS 13,Electronics,770.18,1
ORD-00133,2023-01-17,Canon R5,Camera,1438.58,2
ORD-00134,2024-12-21,Canon R5,Camera,2485.33,3
ORD-00135,2024-04-17,Galaxy Tab,Camera,3868.03,2
ORD-00136,2023-09-20,DJI Mini 4,Camera,7055.96,4
ORD-00137,2024-11-05,Nikon Z6,Accessories,2344.76,5
ORD-00138,2024-03-20,iPad Air,Accessories,3969.33,3
ORD-00139,2023-07-01,MacBook Pro,Accessories,6487.54,5
ORD-00140,2024-01-13,Nikon Z6,Camera,3791.63,3
ORD-00141,2023-02-12,Nikon Z6,Camera,1750.48,2
ORD-00142,2023-09-25,Nikon Z6,Electronics,5332.73,4
ORD-00143,2023-08-10,Dell XPS 13,Electronics,1027.85,3
ORD-00144,2023-04-16,Sony WH-1000,Camera,1733.05,1
ORD-00145,2024-05-07,iPad Air,Camera,889.98,1
ORD-00146,2024-05-02,MacBook Pro,Camera,2353.34,4
ORD-00147,2024-09-24,Dell XPS 13,Camera,3561.42,3
ORD-00148,2023-04-02,Dell XPS 13,Electronics,4511.31,4
ORD-00149,2023-05-05,Canon R5,Camera,6143.51,4
ORD-00150,2023-12-12,Galaxy Tab,Camera,8642.51,5
ORD-00151,2024-05-28,Samsung S24,Electronics,6569.15,4
ORD-00152,2023-05-09,Nikon Z6,Accessories,3208.01,3
ORD-00153,2023-11-24,Sony WH-1000,Camera,7685.72,4
ORD-00154,2023-02-23,iPhone 15,Accessories,5408.79,3
ORD-00155,2024-04-13,Sony WH-1000,Electronics,5862.74,3
ORD-00156,2023-06-22,iPhone 15,Camera,2129.21,3
ORD-00157,2024-07-17,DJI Mini 4,Camera,867.6,4
ORD-00158,2023-06-17,Canon R5,Accessories,6986.94,5
ORD-00159,2024-02-17,Galaxy Tab,Accessories,3190.04,2
ORD-00160,2023-02-15,Sony WH-1000,Accessories,807.3,1
ORD-00161,2023-09-09,Samsung S24,Accessories,5200.51,3
ORD-00162,2023-09-27,Sony WH-1000,Electronics,3801.22,5
ORD-00163,2023-01-28,Canon R5,Accessories,2414.66,2
ORD-00164,2023-06-25,Samsung S24,Camera,4261.02,3
ORD-00165,2024-09-13,Galaxy Tab,Camera,1146.46,1
ORD-00166,2024-07-19,Canon R5,Accessories,6086.75,5
ORD-00167,2024-05-12,Canon R5,Electronics,1835.7,2
ORD-00168,2023-01-31,MacBook Pro,Electronics,1952.7,1
ORD-00169,2024-08-17,Galaxy Tab,Camera,5419.28,4
ORD-00170,2023-04-24,iPad Air,Accessories,1129.13,1
ORD-00171,2024-10-09,Canon R5,Accessories,611.86,4
ORD-00172,2023-01-05,MacBook Pro,Camera,5278.76,4
ORD-00173,2023-11-23,Dell XPS 13,Accessories,5049.69,4
ORD-00174,2023-06-24,Dell XPS 13,Electronics,2009.39,3
ORD-00175,2023-09-16,Samsung S24,Accessories,598.97,3
ORD-00176,2024-08-31,Dell XPS 13,Electronics,335.88,2
ORD-00177,2023-07-27,MacBook Pro,Electronics,4538.68,5
ORD-00178,2023-08-04,iPhone 15,Electronics,2654.2,3
ORD-00179,2023-07-18,Nikon Z6,Electronics,1413.31,1
ORD-00180,2023-12-08,Samsung S24,Electronics,2045.87,2
ORD-00181,2023-04-23,iPhone 15,Accessories,2935.89,5
ORD-00182,2024-10-19,iPad Air,Electronics,4647.69,5
ORD-00183,2024-08-29,Samsung S24,Accessories,5834.66,3
ORD-00184,2023-10-27,Galaxy Tab,Camera,8599.59,5
ORD-00185,2023-07-26,Canon R5,Camera,1819.73,1
ORD-00186,2023-05-03,Canon R5,Electronics,7564.05,5
ORD-00187,2024-07-12,MacBook Pro,Electronics,3540.33,2
ORD-00188,2023-04-15,DJI Mini 4,Electronics,2555.0,4
ORD-00189,2024-03-19,Nikon Z6,Accessories,1569.69,1
ORD-00190,2023-04-28,MacBook Pro,Electronics,1014.39,1
ORD-00191,2024-04-21,Canon R5,Electronics,5886.56,4
ORD-00192,2024-03-27,iPad Air,Camera,1426.4,2
ORD-00193,2023-12-04,iPad Air,Accessories,3089.48,3
ORD-00194,2023-12-21,Sony WH-1000,Accessories,3566.11,3
ORD-00195,2023-03-29,Canon R5,Electronics,3365.21,3
ORD-00196,2023-11-23,iPad Air,Camera,3728.93,5
ORD-00197,2023-08-17,Canon R5,Accessories,1528.9,1
ORD-00198,2024-11-21,Dell XPS 13,Accessories,2961.02,2
ORD-00199,2024-09-06,iPhone 15,Camera,1211.78,3
ORD-00200,2024-01-16,MacBook Pro,Accessories,747.33,3
ORD-00201,2024-02-25,iPad Air,Electronics,1566.03,3
ORD-00202,2024-08-21,Galaxy Tab,Accessories,945.22,3
ORD-00203,2024-08-03,Samsung S24,Camera,6534.57,5
ORD-00204,2023-04-12,Sony WH-1000,Camera,983.47,2
ORD-00205,2024-05-07,Samsung S24,Camera,1361.72,1
ORD-00206,2024-08-08,MacBook Pro,Accessories,1163.35,2
ORD-00207,2023-10-08,Nikon Z6,Camera,5937.23,4
ORD-00208,2023-03-04,DJI Mini 4,Accessories,3264.66,3
ORD-00209,2024-03-04,Samsung S24,Accessories,1766.29,1
ORD-00210,2023-08-08,Samsung S24,Accessories,322.51,1
ORD-00211,2024-10-21,iPad Air,Accessories,3907.78,4
ORD-00212,2024-01-08,Nikon Z6,Electronics,2487.58,2
ORD-00213,2023-05-27,Galaxy Tab,Camera,1021.71,1
ORD-00214,2024-02-09,MacBook Pro,Camera,9628.59,5
ORD-00215,2024-06-29,DJI Mini 4,Accessories,575.4,2
ORD-00216,2024-02-25,DJI Mini 4,Camera,3967.7,2
ORD-00217,2024-04-03,Nikon Z6,Accessories,3442.9,3
ORD-00218,2023-09-07,Sony WH-1000,Camera,977.56,1
ORD-00219,2023-06-29,Canon R5,Electronics,7854.01,4
ORD-00220,2024-09-23,iPhone 15,Electronics,1542.88,1
ORD-00221,2023-07-12,DJI Mini 4,Electronics,3431.3,2
ORD-00222,2023-07-08,iPhone 15,Electronics,7878.81,4
ORD-00223,2024-12-09,Samsung S24,Accessories,1540.42,2
ORD-00224,2024-01-21,iPhone 15,Electronics,3002.72,4
ORD-00225,2023-07-06,Nikon Z6,Accessories,665.64,4
ORD-00226,2023-05-28,Dell XPS 13,Accessories,430.22,2
ORD-00227,2023-08-19,Canon R5,Electronics,2417.22,4
ORD-00228,2023-02-16,iPhone 15,Electronics,635.48,3
ORD-00229,2023-06-21,Dell XPS 13,Camera,3910.37,3
ORD-00230,2023-03-17,Canon R5,Electronics,4017.5,4
ORD-00231,2024-05-07,iPhone 15,Camera,6645.96,4
ORD-00232,2024-05-01,Dell XPS 13,Electronics,5366.26,3
ORD-00233,2024-11-02,MacBook Pro,Camera,914.92,1
ORD-00234,2023-12-16,Sony WH-1000,Camera,2525.39,2
ORD-00235,2023-08-28,Dell XPS 13,Accessories,4230.07,5
ORD-00236,2023-09-19,MacBook Pro,Electronics,3568.43,2
ORD-00237,2023-10-28,Nikon Z6,Camera,2553.37,2
ORD-00238,2023-01-22,iPhone 15,Electronics,6294.18,4
ORD-00239,2024-09-15,Sony WH-1000,Electronics,1502.59,2
ORD-00240,2023-12-25,Dell XPS 13,Accessories,7865.01,5
ORD-00241,2024-08-09,Sony WH-1000,Electronics,746.59,4
ORD-00242,2023-12-10,Nikon Z6,Accessories,915.25,1
ORD-00243,2023-02-04,iPhone 15,Electronics,888.09,2
ORD-00244,2023-05-31,MacBook Pro,Accessories,649.26,5
ORD-00245,2024-06-02,iPad Air,Electronics,3536.89,5
ORD-00246,2023-10-21,iPhone 15,Camera,583.8,2
ORD-00247,2024-01-31,MacBook Pro,Camera,682.06,2
ORD-00248,2023-05-21,Sony WH-1000,Electronics,1397.0,5
ORD-00249,2023-09-11,Nikon Z6,Camera,1642.73,2
ORD-00250,2024-05-14,Dell XPS 13,Camera,1734.29,3
ORD-00251,2024-05-15,Canon R5,Accessories,1644.9,1
ORD-00252,2023-05-22,Dell XPS 13,Camera,3015.23,3
ORD-00253,2023-08-21,Galaxy Tab,Electronics,6346.76,4
ORD-00254,2023-06-16,MacBook Pro,Camera,1119.6,3
ORD-00255,2023-06-06,iPad Air,Electronics,2958.22,2
ORD-00256,2023-11-25,iPad Air,Accessories,5512.41,3
ORD-00257,2023-05-22,DJI Mini 4,Camera,4472.08,4
ORD-00258,2024-04-25,Nikon Z6,Camera,4271.56,5
ORD-00259,2023-01-26,DJI Mini 4,Camera,622.65,1
ORD-00260,2023-01-19,DJI Mini 4,Accessories,552.17,4
ORD-00261,2023-08-05,iPad Air,Accessories,786.21,3
ORD-00262,2024-01-15,MacBook Pro,Accessories,1799.73,2
ORD-00263,2023-01-15,Canon R5,Camera,847.04,5
ORD-00264,2024-05-26,MacBook Pro,Camera,1242.12,1
ORD-00265,2023-07-07,Canon R5,Camera,4829.46,4
ORD-00266,2023-08-01,Canon R5,Camera,3719.71,4
ORD-00267,2024-03-25,Nikon Z6,Electronics,3074.15,5
ORD-00268,2024-12-20,Dell XPS 13,Camera,1575.26,2
ORD-00269,2024-12-27,Galaxy Tab,Accessories,2996.52,3
ORD-00270,2024-01-15,Sony WH-1000,Camera,5885.88,4
ORD-00271,2023-05-01,DJI Mini 4,Accessories,3711.98,3
ORD-00272,2024-11-26,Canon R5,Accessories,4303.62,3
ORD-00273,2024-11-28,Galaxy Tab,Camera,452.52,1
ORD-00274,2023-02-19,Dell XPS 13,Accessories,5441.01,5
ORD-00275,2023-12-01,Nikon Z6,Electronics,2551.55,4
ORD-00276,2024-09-23,iPad Air,Camera,523.85,1
ORD-00277,2023-01-20,iPhone 15,Electronics,136.16,1
ORD-00278,2024-01-15,iPhone 15,Camera,1043.15,1
ORD-00279,2023-11-20,DJI Mini 4,Electronics,1759.13,3
ORD-00280,2024-07-04,Dell XPS 13,Camera,1785.37,1
ORD-00281,2023-07-19,iPad Air,Electronics,139.34,1
ORD-00282,2024-09-16,MacBook Pro,Electronics,4476.18,5
ORD-00283,2024-05-25,iPhone 15,Electronics,323.21,1
ORD-00284,2024-11-22,DJI Mini 4,Electronics,5291.62,5
ORD-00285,2024-12-08,Dell XPS 13,Accessories,1897.79,5
ORD-00286,2023-05-10,MacBook Pro,Camera,4774.29,4
ORD-00287,2023-02-22,DJI Mini 4,Electronics,5171.97,4
ORD-00288,2023-03-23,DJI Mini 4,Camera,3302.05,5
ORD-00289,2024-02-13,Dell XPS 13,Camera,2612.06,4
ORD-00290,2023-06-24,iPad Air,Electronics,4151.06,4
ORD-00291,2023-10-23,DJI Mini 4,Accessories,1592.8,1
ORD-00292,2024-10-08,Samsung S24,Accessories,5659.23,3
ORD-00293,2024-07-12,DJI Mini 4,Accessories,2195.64,2
ORD-00294,2023-06-22,Sony WH-1000,Accessories,1913.38,5
ORD-00295,2023-10-06,iPad Air,Accessories,7450.87,4
ORD-00296,2023-01-09,Canon R5,Camera,1843.89,1
ORD-00297,2023-01-01,iPhone 15,Accessories,3535.76,2
ORD-00298,2023-01-23,Samsung S24,Camera,7839.23,4
ORD-00299,2024-02-23,MacBook Pro,Accessories,9653.7,5
ORD-00300,2024-04-08,Galaxy Tab,Camera,5800.08,3
ORD-00301,2024-06-30,Sony WH-1000,Camera,3447.04,2
ORD-00302,2024-09-16,Galaxy Tab,Electronics,665.56,3
ORD-00303,2024-06-03,Dell XPS 13,Camera,1557.96,1
ORD-00304,2023-01-20,DJI Mini 4,Electronics,1573.0,1
ORD-00305,2023-01-25,Samsung S24,Electronics,797.91,5
ORD-00306,2023-02-04,Canon R5,Electronics,4369.15,5
ORD-00307,2023-07-01,Nikon Z6,Electronics,3820.64,2
ORD-00308,2023-06-12,iPhone 15,Electronics,7576.09,5
ORD-00309,2024-12-02,Nikon Z6,Accessories,6074.67,5
ORD-00310,2023-12-15,iPad Air,Camera,1977.07,1
ORD-00311,2024-04-08,DJI Mini 4,Camera,3576.9,2
ORD-00312,2023-07-29,Samsung S24,Accessories,6810.65,5
ORD-00313,2024-11-13,MacBook Pro,Electronics,2012.86,3
ORD-00314,2023-04-19,Sony WH-1000,Electronics,3626.34,3
ORD-00315,2023-01-09,Samsung S24,Electronics,422.5,2
ORD-00316,2024-03-15,Galaxy Tab,Electronics,3285.2,5
ORD-00317,2024-11-26,Canon R5,Camera,1363.02,3
ORD-00318,2023-08-18,Samsung S24,Accessories,1107.07,2
ORD-00319,2024-09-23,Canon R5,Electronics,3378.13,2
ORD-00320,2024-08-06,Samsung S24,Accessories,1626.78,2
ORD-00321,2023-11-07,Samsung S24,Camera,930.22,1
ORD-00322,2023-05-10,Galaxy Tab,Accessories,4259.88,3
ORD-00323,2023-09-14,Canon R5,Electronics,5536.48,5
ORD-00324,2024-06-20,iPhone 15,Accessories,1879.25,2
ORD-00325,2023-06-03,Canon R5,Accessories,1502.92,5
ORD-00326,2024-04-27,iPad Air,Camera,4400.58,3
ORD-00327,2023-03-06,Galaxy Tab,Electronics,5473.11,5
ORD-00328,2024-05-20,MacBook Pro,Electronics,942.14,2
ORD-00329,2023-05-28,Dell XPS 13,Electronics,5124.02,5
ORD-00330,2024-09-24,iPhone 15,Electronics,490.53,3
ORD-00331,2023-11-01,iPhone 15,Camera,946.32,4
ORD-00332,2023-04-02,Dell XPS 13,Accessories,1627.49,5
ORD-00333,2024-09-25,Galaxy Tab,Accessories,6686.73,4
ORD-00334,2023-09-09,Nikon Z6,Electronics,1424.79,1
ORD-00335,2023-02-24,Samsung S24,Accessories,3764.67,4
ORD-00336,2024-03-07,iPad Air,Accessories,5636.67,3
ORD-00337,2023-05-17,Dell XPS 13,Camera,3555.53,2
ORD-00338,2023-08-26,Samsung S24,Accessories,2748.35,3
ORD-00339,2023-11-23,iPhone 15,Electronics,2434.83,3
ORD-00340,2023-02-19,Dell XPS 13,Camera,2310.38,2
ORD-00341,2023-09-21,MacBook Pro,Accessories,7430.17,5
ORD-00342,2023-07-08,iPad Air,Camera,464.17,2
ORD-00343,2023-02-25,MacBook Pro,Accessories,5214.64,4
ORD-00344,2023-12-13,iPad Air,Electronics,1925.06,1
ORD-00345,2023-01-30,iPhone 15,Accessories,7904.35,5
ORD-00346,2024-08-05,Galaxy Tab,Camera,1314.17,1
ORD-00347,2024-04-14,Sony WH-1000,Accessories,1450.43,1
ORD-00348,2023-02-02,Dell XPS 13,Accessories,600.85,2
ORD-00349,2023-02-13,Dell XPS 13,Accessories,1303.5,1
ORD-00350,2024-03-23,iPad Air,Electronics,3874.99,5
ORD-00351,2024-12-26,Canon R5,Accessories,3857.58,3
ORD-00352,2024-05-07,Sony WH-1000,Accessories,1035.14,3
ORD-00353,2023-09-20,Sony WH-1000,Accessories,5950.21,3
ORD-00354,2024-07-19,MacBook Pro,Accessories,317.31,3
ORD-00355,2023-10-20,Dell XPS 13,Accessories,2064.2,2
ORD-00356,2024-02-06,iPhone 15,Camera,4389.73,4
ORD-00357,2024-01-25,Nikon Z6,Camera,257.89,2
ORD-00358,2023-02-22,iPhone 15,Electronics,1067.63,1
ORD-00359,2023-04-14,Galaxy Tab,Camera,3552.51,3
ORD-00360,2024-04-27,Samsung S24,Camera,2942.24,4
ORD-00361,2023-04-22,Samsung S24,Camera,4018.47,3
ORD-00362,2023-04-04,iPad Air,Electronics,2265.6,2
ORD-00363,2023-02-01,iPad Air,Camera,1077.92,1
ORD-00364,2023-01-08,Galaxy Tab,Accessories,2291.74,2
ORD-00365,2023-03-21,Galaxy Tab,Accessories,555.17,1
ORD-00366,2023-06-12,iPhone 15,Accessories,5092.27,4
ORD-00367,2024-06-05,Galaxy Tab,Electronics,2893.59,2
ORD-00368,2024-09-18,Nikon Z6,Camera,4887.45,3
ORD-00369,2024-03-29,iPad Air,Electronics,5786.78,3
ORD-00370,2023-09-30,iPhone 15,Accessories,5246.66,3
ORD-00371,2024-05-27,iPhone 15,Electronics,1018.83,5
ORD-00372,2023-12-17,Samsung S24,Camera,6779.2,4
ORD-00373,2024-08-30,Sony WH-1000,Camera,1136.14,3
ORD-00374,2024-08-22,MacBook Pro,Camera,9524.27,5
ORD-00375,2024-12-02,Sony WH-1000,Electronics,7168.35,4
ORD-00376,2023-08-28,Canon R5,Camera,5211.48,3
ORD-00377,2023-12-03,Sony WH-1000,Accessories,6406.27,5
ORD-00378,2024-08-13,Canon R5,Electronics,1888.63,1
ORD-00379,2024-12-13,Sony WH-1000,Camera,7200.48,5
ORD-00380,2023-11-19,Sony WH-1000,Camera,2638.99,3
ORD-00381,2023-06-17,Dell XPS 13,Electronics,1350.82,3
ORD-00382,2023-04-12,Sony WH-1000,Camera,1229.63,1
ORD-00383,2024-10-25,MacBook Pro,Accessories,5694.33,4
ORD-00384,2024-02-15,Galaxy Tab,Electronics,8563.88,5
ORD-00385,2023-09-16,Galaxy Tab,Electronics,1857.59,1
ORD-00386,2023-10-16,Canon R5,Accessories,5624.79,3
ORD-00387,2024-09-13,Dell XPS 13,Camera,603.22,1
ORD-00388,2023-09-11,Galaxy Tab,Camera,5666.34,5
ORD-00389,2023-12-19,Nikon Z6,Electronics,728.71,2
ORD-00390,2023-07-04,Sony WH-1000,Camera,920.12,2
ORD-00391,2023-05-25,Canon R5,Electronics,4196.0,3
ORD-00392,2023-06-09,DJI Mini 4,Accessories,6995.14,5
ORD-00393,2023-02-09,Canon R5,Accessories,6262.31,5
ORD-00394,2024-04-21,Sony WH-1000,Camera,4665.6,3
ORD-00395,2023-11-16,Nikon Z6,Camera,1310.28,3
ORD-00396,2023-10-01,DJI Mini 4,Electronics,567.49,5
ORD-00397,2023-08-27,Sony WH-1000,Accessories,7310.04,4
ORD-00398,2024-07-17,Canon R5,Accessories,4460.13,4
ORD-00399,2024-07-22,Canon R5,Camera,3696.17,5
ORD-00400,2023-06-28,DJI Mini 4,Accessories,1309.54,1
ORD-00401,2023-01-24,Galaxy Tab,Camera,1426.35,1
ORD-00402,2023-04-29,iPhone 15,Accessories,9441.84,5
ORD-00403,2023-05-16,Nikon Z6,Electronics,1352.28,3
ORD-00404,2023-11-25,Dell XPS 13,Accessories,6688.87,5
ORD-00405,2023-08-29,Nikon Z6,Camera,5073.38,5
ORD-00406,2024-06-14,Samsung S24,Camera,3428.21,2
ORD-00407,2023-01-13,iPhone 15,Accessories,575.54,1
ORD-00408,2024-07-18,Dell XPS 13,Camera,7177.74,4
ORD-00409,2024-09-05,Dell XPS 13,Electronics,1627.14,2
ORD-00410,2024-01-26,Sony WH-1000,Accessories,3469.79,4
ORD-00411,2024-01-03,Samsung S24,Accessories,522.19,5
ORD-00412,2024-11-03,iPhone 15,Accessories,602.08,1
ORD-00413,2024-03-09,DJI Mini 4,Accessories,3329.33,2
ORD-00414,2023-08-15,Sony WH-1000,Accessories,5115.26,5
ORD-00415,2024-02-12,DJI Mini 4,Accessories,3750.05,4
ORD-00416,2023-11-22,Sony WH-1000,Accessories,908.32,1
ORD-00417,2023-09-23,Sony WH-1000,Electronics,7871.08,5
ORD-00418,2023-05-18,iPad Air,Electronics,2644.29,4
ORD-00419,2023-08-29,iPad Air,Electronics,2893.32,5
